Season Start,Year,League,Team (Short),Team (Full),Division,DivWin,WCWin,LgWin,WSWin,G,W,L,RS,AB,H,2B,3B,HR,BB,SO,SB,CS,RA,ER,ERA,CG,SHO,SV
4/1/1995,1995,NL,ATL,Atlanta Braves,E,Y,N,Y,Y,144,90,54,645,4814,1202,210,27,168,520,933,73,43,540,493,3.44,18,11,34
4/1/1995,1995,AL,BAL,Baltimore Orioles,E,N,N,N,N,144,71,73,704,4837,1267,229,27,173,574,803,92,45,640,607,4.31,19,10,29
4/1/1995,1995,AL,BOS,Boston Red Sox,E,Y,N,N,N,144,86,58,791,4997,1399,286,31,175,560,923,99,44,698,630,4.39,7,9,39
4/1/1995,1995,AL,CAL,California Angels,W,N,N,N,N,145,78,67,801,5019,1390,252,25,186,564,889,58,39,697,645,4.52,8,9,42
4/1/1995,1995,AL,CHA,Chicago White Sox,C,N,N,N,N,145,68,76,755,5060,1417,252,37,146,576,767,110,39,758,692,4.85,12,4,36
4/1/1995,1995,NL,CHN,Chicago Cubs,C,N,N,N,N,144,73,71,693,4963,1315,267,39,158,440,953,105,37,671,597,4.13,6,12,45
4/1/1995,1995,NL,CIN,Cincinnati Reds,C,Y,N,N,N,144,85,59,747,4903,1326,277,35,161,519,946,190,68,623,577,4.03,8,10,38
4/1/1995,1995,AL,CLE,Cleveland Indians,C,Y,N,Y,N,144,100,44,840,5028,1461,279,23,207,542,766,132,53,607,554,3.83,10,10,50
4/1/1995,1995,NL,COL,Colorado Rockies,W,N,Y,N,N,144,77,67,785,4994,1406,259,43,200,484,943,125,59,783,711,4.97,1,1,43
4/1/1995,1995,AL,DET,Detroit Tigers,E,N,N,N,N,144,60,84,654,4865,1204,228,29,159,551,987,73,36,844,778,5.49,5,3,38
4/1/1995,1995,NL,FLO,Florida Marlins,E,N,N,N,N,143,67,76,673,4886,1278,214,29,144,517,916,131,53,673,610,4.27,12,7,29
4/1/1995,1995,NL,HOU,Houston Astros,C,N,N,N,N,144,76,68,747,5097,1403,260,22,109,566,992,176,60,674,595,4.06,6,8,32
4/1/1995,1995,AL,KCA,Kansas City Royals,C,N,N,N,N,144,70,74,629,4903,1275,240,35,119,475,849,120,53,691,643,4.49,11,10,37
4/1/1995,1995,NL,LAN,Los Angeles Dodgers,W,Y,N,N,N,144,78,66,634,4942,1303,191,31,140,468,1023,127,45,609,527,3.66,16,11,37
4/1/1995,1995,AL,MIN,Minnesota Twins,C,N,N,N,N,144,56,88,703,5005,1398,270,34,120,471,916,105,57,889,814,5.76,7,2,27
4/1/1995,1995,AL,ML4,Milwaukee Brewers,C,N,N,N,N,144,65,79,740,5000,1329,249,42,128,502,800,105,40,747,689,4.82,7,4,31
4/1/1995,1995,NL,MON,Montreal Expos,E,N,N,N,N,144,66,78,621,4905,1268,265,24,118,400,901,120,49,638,586,4.11,7,9,42
4/1/1995,1995,AL,NYA,New York Yankees,E,N,Y,N,N,145,79,65,749,4947,1365,280,34,122,625,851,50,30,688,651,4.56,18,5,35
4/1/1995,1995,NL,NYN,New York Mets,E,N,N,N,N,144,69,75,657,4958,1323,218,34,125,446,994,58,39,618,557,3.88,9,9,36
4/1/1995,1995,AL,OAK,Oakland Athletics,W,N,N,N,N,144,67,77,730,4916,1296,228,18,169,565,911,112,46,761,697,4.93,8,4,34
4/1/1995,1995,NL,PHI,Philadelphia Phillies,E,N,N,N,N,144,69,75,615,4950,1296,263,30,94,497,884,72,25,658,603,4.21,8,8,41
4/1/1995,1995,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,144,58,86,629,4937,1281,245,27,125,456,972,84,55,736,666,4.7,11,7,29
4/1/1995,1995,NL,SDN,San Diego Padres,W,N,N,N,N,144,70,74,668,4950,1345,231,20,116,447,872,124,46,672,589,4.13,6,10,35
4/1/1995,1995,AL,SEA,Seattle Mariners,W,Y,N,N,N,145,79,66,796,4996,1377,276,20,182,549,871,110,41,708,644,4.5,9,8,39
4/1/1995,1995,NL,SFN,San Francisco Giants,W,N,N,N,N,144,67,77,652,4971,1256,229,33,152,472,1060,138,46,776,698,4.86,12,5,34
4/1/1995,1995,NL,SLN,St. Louis Cardinals,C,N,N,N,N,143,62,81,563,4779,1182,238,24,107,436,920,79,46,658,575,4.09,4,6,38
4/1/1995,1995,AL,TEX,Texas Rangers,W,N,N,N,N,144,74,70,691,4913,1304,247,24,138,526,877,90,47,720,665,4.66,14,4,34
4/1/1995,1995,AL,TOR,Toronto Blue Jays,E,N,N,N,N,144,56,88,642,5036,1309,275,27,140,492,906,75,16,777,701,4.88,16,8,22
4/1/1996,1996,NL,ATL,Atlanta Braves,E,Y,N,Y,N,162,96,66,773,5614,1514,264,28,197,530,1032,83,43,648,578,3.54,14,9,46
4/1/1996,1996,AL,BAL,Baltimore Orioles,E,N,Y,N,N,163,88,74,949,5689,1557,299,29,257,645,915,76,40,903,840,5.15,13,2,44
4/1/1996,1996,AL,BOS,Boston Red Sox,E,N,N,N,N,162,85,77,928,5756,1631,308,31,209,642,1020,91,44,921,810,5,17,5,37
4/1/1996,1996,AL,CAL,California Angels,W,N,N,N,N,161,70,91,762,5686,1571,256,24,192,527,974,53,39,943,849,5.31,12,8,38
4/1/1996,1996,AL,CHA,Chicago White Sox,C,N,N,N,N,162,85,77,898,5644,1586,284,33,195,701,927,105,41,794,735,4.53,7,5,43
4/1/1996,1996,NL,CHN,Chicago Cubs,C,N,N,N,N,162,76,86,772,5531,1388,267,19,175,523,1090,108,50,771,705,4.36,10,11,34
4/1/1996,1996,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,81,81,778,5455,1398,259,36,191,604,1134,171,63,773,694,4.33,6,8,52
4/1/1996,1996,AL,CLE,Cleveland Indians,C,Y,N,N,N,161,99,62,952,5681,1665,335,23,218,671,844,160,50,769,702,4.35,13,9,46
4/1/1996,1996,NL,COL,Colorado Rockies,W,N,N,N,N,162,83,79,961,5590,1607,297,37,221,527,1108,201,66,964,885,5.6,5,5,34
4/1/1996,1996,AL,DET,Detroit Tigers,E,N,N,N,N,162,53,109,783,5530,1413,257,21,204,546,1268,87,50,1103,1015,6.38,10,4,22
4/1/1996,1996,NL,FLO,Florida Marlins,E,N,N,N,N,162,80,82,688,5498,1413,240,30,150,553,1122,99,46,703,633,3.95,8,13,41
4/1/1996,1996,NL,HOU,Houston Astros,C,N,N,N,N,162,82,80,753,5508,1445,297,29,129,554,1057,180,63,792,704,4.38,13,4,35
4/1/1996,1996,AL,KCA,Kansas City Royals,C,N,N,N,N,161,75,86,746,5542,1477,286,38,123,529,943,195,85,786,733,4.55,17,8,35
4/1/1996,1996,NL,LAN,Los Angeles Dodgers,W,N,Y,N,N,162,90,72,703,5538,1396,215,33,150,516,1190,124,40,652,567,3.48,6,9,50
4/1/1996,1996,AL,MIN,Minnesota Twins,C,N,N,N,N,162,78,84,877,5673,1633,332,47,118,576,958,143,53,900,847,5.3,13,5,31
4/1/1996,1996,AL,ML4,Milwaukee Brewers,C,N,N,N,N,162,80,82,894,5662,1578,304,40,178,624,986,101,48,899,831,5.17,6,5,42
4/1/1996,1996,NL,MON,Montreal Expos,E,N,N,N,N,162,88,74,741,5505,1441,297,27,148,492,1077,108,34,668,605,3.78,11,7,43
4/1/1996,1996,AL,NYA,New York Yankees,E,Y,N,Y,Y,162,92,70,871,5628,1621,293,28,162,632,909,96,46,787,744,4.65,6,9,52
4/1/1996,1996,NL,NYN,New York Mets,E,N,N,N,N,162,71,91,746,5618,1515,267,47,147,445,1069,97,48,779,675,4.22,10,10,41
4/1/1996,1996,AL,OAK,Oakland Athletics,W,N,N,N,N,162,78,84,861,5630,1492,283,21,243,640,1114,58,35,900,841,5.2,7,5,34
4/1/1996,1996,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,67,95,650,5499,1405,249,39,132,536,1092,117,41,790,710,4.49,12,6,42
4/1/1996,1996,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,162,73,89,776,5665,1509,319,33,138,510,989,126,49,833,750,4.64,5,7,37
4/1/1996,1996,NL,SDN,San Diego Padres,W,Y,N,N,N,162,91,71,771,5655,1499,285,24,147,601,1014,109,55,682,617,3.73,5,11,47
4/1/1996,1996,AL,SEA,Seattle Mariners,W,N,N,N,N,161,85,76,993,5668,1625,343,19,245,670,1052,90,39,895,828,5.21,4,4,34
4/1/1996,1996,NL,SFN,San Francisco Giants,W,N,N,N,N,162,68,94,752,5533,1400,245,21,153,615,1189,113,53,862,756,4.72,9,8,35
4/1/1996,1996,NL,SLN,St. Louis Cardinals,C,Y,N,N,N,162,88,74,759,5502,1468,281,31,142,495,1089,149,58,706,642,3.98,13,11,43
4/1/1996,1996,AL,TEX,Texas Rangers,W,Y,N,N,N,163,90,72,928,5702,1622,323,32,221,660,1041,83,26,799,750,4.66,19,6,43
4/1/1996,1996,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,74,88,766,5599,1451,302,35,177,529,1105,116,38,809,735,4.58,19,7,35
4/1/1997,1997,AL,ANA,Anaheim Angels,W,N,N,N,N,162,84,78,829,5628,1531,279,25,161,617,953,126,72,794,730,4.52,9,5,39
4/1/1997,1997,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,101,61,791,5528,1490,268,37,174,597,1160,108,58,581,518,3.18,21,17,37
4/1/1997,1997,AL,BAL,Baltimore Orioles,E,Y,N,N,N,162,98,64,812,5584,1498,264,22,196,586,952,63,26,681,635,3.91,8,10,59
4/1/1997,1997,AL,BOS,Boston Red Sox,E,N,N,N,N,162,78,84,851,5781,1684,373,32,185,514,1044,68,48,857,785,4.87,7,4,40
4/1/1997,1997,AL,CHA,Chicago White Sox,C,N,N,N,N,161,80,81,779,5491,1498,260,28,158,569,901,106,52,833,749,4.74,6,7,52
4/1/1997,1997,NL,CHN,Chicago Cubs,C,N,N,N,N,162,68,94,687,5489,1444,269,39,127,451,1003,116,60,759,705,4.44,6,4,37
4/1/1997,1997,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,76,86,651,5484,1386,269,27,142,518,1113,190,67,764,712,4.42,5,8,49
4/1/1997,1997,AL,CLE,Cleveland Indians,C,Y,N,Y,N,161,86,75,868,5556,1589,301,22,220,617,955,118,59,815,749,4.73,4,3,39
4/1/1997,1997,NL,COL,Colorado Rockies,W,N,N,N,N,162,83,79,923,5603,1611,269,40,239,562,1060,137,65,908,835,5.25,9,5,38
4/1/1997,1997,AL,DET,Detroit Tigers,E,N,N,N,N,162,79,83,784,5481,1415,268,32,176,578,1164,161,72,790,732,4.56,13,8,42
4/1/1997,1997,NL,FLO,Florida Marlins,E,N,Y,Y,Y,162,92,70,740,5439,1410,272,28,136,686,1074,115,58,669,615,3.83,12,10,39
4/1/1997,1997,NL,HOU,Houston Astros,C,Y,N,N,N,162,84,78,777,5502,1427,314,40,133,633,1085,171,74,660,595,3.67,16,12,37
4/1/1997,1997,AL,KCA,Kansas City Royals,C,N,N,N,N,161,67,94,747,5599,1478,256,35,158,561,1061,130,66,820,755,4.71,11,5,29
4/1/1997,1997,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,88,74,742,5544,1488,242,33,174,498,1079,131,64,645,588,3.63,6,6,45
4/1/1997,1997,AL,MIN,Minnesota Twins,C,N,N,N,N,162,68,94,772,5634,1522,305,40,132,495,1121,151,52,861,800,5.02,10,4,30
4/1/1997,1997,AL,ML4,Milwaukee Brewers,C,N,N,N,N,161,78,83,681,5444,1415,294,27,135,494,967,103,55,742,670,4.22,6,8,44
4/1/1997,1997,NL,MON,Montreal Expos,E,N,N,N,N,162,78,84,691,5526,1423,339,34,172,420,1084,75,46,740,666,4.14,27,14,37
4/1/1997,1997,AL,NYA,New York Yankees,E,N,Y,N,N,162,96,66,891,5710,1636,325,23,161,676,954,99,58,688,626,3.84,11,10,51
4/1/1997,1997,NL,NYN,New York Mets,E,N,N,N,N,162,88,74,777,5524,1448,274,28,153,550,1029,97,74,709,640,3.95,7,8,49
4/1/1997,1997,AL,OAK,Oakland Athletics,W,N,N,N,N,162,65,97,764,5589,1451,274,23,197,642,1181,71,36,946,881,5.49,2,1,38
4/1/1997,1997,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,68,94,668,5443,1390,290,35,116,519,1032,92,56,840,768,4.87,13,7,35
4/1/1997,1997,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,162,79,83,725,5503,1440,291,52,129,481,1161,160,50,760,683,4.28,6,8,41
4/1/1997,1997,NL,SDN,San Diego Padres,W,N,N,N,N,162,76,86,795,5609,1519,275,16,152,604,1129,140,60,891,804,4.99,5,2,43
4/1/1997,1997,AL,SEA,Seattle Mariners,W,Y,N,N,N,162,90,72,925,5614,1574,312,21,264,626,1110,89,40,833,770,4.79,9,8,38
4/1/1997,1997,NL,SFN,San Francisco Giants,W,Y,N,N,N,162,90,72,784,5485,1415,266,37,172,642,1120,121,49,793,709,4.41,5,9,45
4/1/1997,1997,NL,SLN,St. Louis Cardinals,C,N,N,N,N,162,73,89,689,5524,1409,269,39,144,543,1191,164,60,708,631,3.9,5,3,39
4/1/1997,1997,AL,TEX,Texas Rangers,W,N,N,N,N,162,77,85,807,5651,1547,311,27,187,500,1116,72,37,823,744,4.68,8,9,33
4/1/1997,1997,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,76,86,654,5473,1333,275,41,147,487,1138,134,50,694,628,3.92,19,16,34
4/1/1998,1998,AL,ANA,Anaheim Angels,W,N,N,N,N,162,85,77,787,5630,1530,314,27,147,510,1028,93,45,783,720,4.49,3,5,52
4/1/1998,1998,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,65,97,665,5491,1353,235,46,159,489,1239,73,38,812,738,4.64,7,6,37
4/1/1998,1998,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,106,56,826,5484,1489,297,26,215,548,1062,98,43,581,519,3.25,24,23,45
4/1/1998,1998,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,79,83,817,5565,1520,303,11,214,593,903,86,48,785,752,4.73,16,10,37
4/1/1998,1998,AL,BOS,Boston Red Sox,E,N,Y,N,N,162,92,70,876,5601,1568,338,35,205,541,1049,72,39,729,669,4.19,5,8,53
4/1/1998,1998,AL,CHA,Chicago White Sox,C,N,N,N,N,163,80,82,861,5585,1516,291,38,198,551,916,127,46,931,837,5.24,8,4,42
4/1/1998,1998,NL,CHN,Chicago Cubs,C,N,Y,N,N,163,90,73,831,5649,1494,250,34,212,601,1223,65,44,792,739,4.5,7,7,56
4/1/1998,1998,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,77,85,750,5496,1441,298,28,138,608,1107,95,42,760,711,4.44,6,8,42
4/1/1998,1998,AL,CLE,Cleveland Indians,C,Y,N,N,N,162,89,73,850,5616,1530,334,30,198,630,1061,143,60,779,722,4.45,9,4,47
4/1/1998,1998,NL,COL,Colorado Rockies,W,N,N,N,N,162,77,85,826,5632,1640,333,36,183,469,949,67,47,855,796,5,9,5,36
4/1/1998,1998,AL,DET,Detroit Tigers,C,N,N,N,N,162,65,97,722,5664,1494,306,29,165,455,1070,122,62,863,792,4.93,9,4,32
4/1/1998,1998,NL,FLO,Florida Marlins,E,N,N,N,N,162,54,108,667,5558,1381,277,36,114,525,1120,115,57,923,837,5.2,11,3,24
4/1/1998,1998,NL,HOU,Houston Astros,C,Y,N,N,N,162,102,60,874,5641,1578,326,28,166,621,1122,155,51,620,572,3.5,12,11,44
4/1/1998,1998,AL,KCA,Kansas City Royals,C,N,N,N,N,161,72,89,714,5546,1459,274,40,134,475,984,135,50,899,823,5.16,6,7,46
4/1/1998,1998,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,83,79,669,5459,1374,209,27,159,447,1056,137,53,678,613,3.81,16,10,47
4/1/1998,1998,NL,MIL,Milwaukee Brewers,C,N,N,N,N,162,74,88,707,5541,1439,266,17,152,532,1039,81,59,812,746,4.63,2,2,39
4/1/1998,1998,AL,MIN,Minnesota Twins,C,N,N,N,N,162,70,92,734,5641,1499,285,32,115,506,915,112,54,818,765,4.76,7,9,42
4/1/1998,1998,NL,MON,Montreal Expos,E,N,N,N,N,162,65,97,644,5418,1348,280,32,147,439,1058,91,46,783,696,4.39,4,5,39
4/1/1998,1998,AL,NYA,New York Yankees,E,Y,N,Y,Y,162,114,48,965,5643,1625,290,31,207,653,1025,153,63,656,618,3.82,22,16,48
4/1/1998,1998,NL,NYN,New York Mets,E,N,N,N,N,162,88,74,706,5510,1425,289,24,136,572,1049,62,46,645,611,3.77,9,16,46
4/1/1998,1998,AL,OAK,Oakland Athletics,W,N,N,N,N,162,74,88,804,5490,1413,295,13,149,633,1122,131,47,866,770,4.83,12,4,39
4/1/1998,1998,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,75,87,713,5617,1482,286,36,126,508,1080,97,45,808,754,4.64,21,11,32
4/1/1998,1998,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,163,69,93,650,5493,1395,271,35,107,393,1060,159,51,718,630,3.91,7,10,41
4/1/1998,1998,NL,SDN,San Diego Padres,W,Y,N,Y,N,162,98,64,749,5490,1390,292,30,167,604,1072,79,37,635,587,3.63,14,11,59
4/1/1998,1998,AL,SEA,Seattle Mariners,W,N,N,N,N,161,76,85,859,5628,1553,321,28,234,558,1081,115,39,855,783,4.95,17,7,31
4/1/1998,1998,NL,SFN,San Francisco Giants,W,N,N,N,N,163,89,74,845,5628,1540,292,26,161,678,1040,102,51,739,688,4.19,6,6,44
4/1/1998,1998,NL,SLN,St. Louis Cardinals,C,N,N,N,N,163,83,79,810,5593,1444,292,30,223,676,1179,133,41,782,705,4.32,6,10,44
4/1/1998,1998,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,162,63,99,620,5555,1450,267,43,111,473,1107,120,73,751,697,4.35,7,8,28
4/1/1998,1998,AL,TEX,Texas Rangers,W,Y,N,N,N,162,88,74,940,5672,1637,314,32,201,595,1045,82,47,871,795,5,10,8,46
4/1/1998,1998,AL,TOR,Toronto Blue Jays,E,N,N,N,N,163,88,74,816,5580,1482,316,19,221,564,1132,184,81,768,698,4.29,10,11,47
4/1/1999,1999,AL,ANA,Anaheim Angels,W,N,N,N,N,162,70,92,711,5494,1404,248,22,158,511,1022,71,45,826,762,4.79,4,7,37
4/1/1999,1999,NL,ARI,Arizona Diamondbacks,W,Y,N,N,N,162,100,62,908,5658,1566,289,46,216,588,1045,137,39,676,615,3.77,16,9,42
4/1/1999,1999,NL,ATL,Atlanta Braves,E,Y,N,Y,N,162,103,59,840,5569,1481,309,23,197,608,962,148,66,661,593,3.63,9,9,45
4/1/1999,1999,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,78,84,851,5637,1572,299,21,203,615,890,107,46,815,761,4.77,17,11,33
4/1/1999,1999,AL,BOS,Boston Red Sox,E,N,Y,N,N,162,94,68,836,5579,1551,334,42,176,597,928,67,39,718,638,4,6,12,50
4/1/1999,1999,AL,CHA,Chicago White Sox,C,N,N,N,N,162,75,86,777,5644,1563,298,37,162,499,810,110,50,870,786,4.92,6,3,39
4/1/1999,1999,NL,CHN,Chicago Cubs,C,N,N,N,N,162,67,95,747,5482,1411,255,35,189,571,1170,60,44,920,837,5.27,11,6,32
4/1/1999,1999,NL,CIN,Cincinnati Reds,C,N,N,N,N,163,96,67,865,5649,1536,312,37,209,569,1125,164,54,711,648,3.99,6,11,55
4/1/1999,1999,AL,CLE,Cleveland Indians,C,Y,N,N,N,162,97,65,1009,5634,1629,309,32,209,743,1099,147,50,860,789,4.9,3,6,46
4/1/1999,1999,NL,COL,Colorado Rockies,W,N,N,N,N,162,72,90,906,5716,1644,305,39,223,508,863,70,43,1028,955,6.02,12,2,33
4/1/1999,1999,AL,DET,Detroit Tigers,C,N,N,N,N,161,69,92,747,5481,1433,289,34,212,458,1049,108,70,882,817,5.18,4,6,33
4/1/1999,1999,NL,FLO,Florida Marlins,E,N,N,N,N,162,64,98,691,5578,1465,266,44,128,479,1145,92,46,852,781,4.9,6,5,33
4/1/1999,1999,NL,HOU,Houston Astros,C,Y,N,N,N,162,97,65,823,5485,1463,293,23,168,728,1138,166,75,675,622,3.84,12,8,48
4/1/1999,1999,AL,KCA,Kansas City Royals,C,N,N,N,N,161,64,97,856,5624,1584,294,52,151,535,932,127,39,921,844,5.35,11,3,29
4/1/1999,1999,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,77,85,793,5567,1480,253,23,187,594,1030,167,68,787,718,4.45,8,6,37
4/1/1999,1999,NL,MIL,Milwaukee Brewers,C,N,N,N,N,161,74,87,815,5582,1524,299,30,165,658,1065,81,33,886,812,5.07,2,5,40
4/1/1999,1999,AL,MIN,Minnesota Twins,C,N,N,N,N,161,63,97,686,5495,1450,285,30,105,500,978,118,60,845,794,5.02,12,8,34
4/1/1999,1999,NL,MON,Montreal Expos,E,N,N,N,N,162,68,94,718,5559,1473,320,47,163,438,939,70,51,853,747,4.69,6,4,44
4/1/1999,1999,AL,NYA,New York Yankees,E,Y,N,Y,Y,162,98,64,900,5568,1568,302,36,193,718,978,104,57,731,660,4.13,6,10,50
4/1/1999,1999,NL,NYN,New York Mets,E,N,Y,N,N,163,97,66,853,5572,1553,297,14,181,717,994,150,61,711,691,4.27,5,7,49
4/1/1999,1999,AL,OAK,Oakland Athletics,W,N,N,N,N,162,87,75,893,5519,1430,287,20,235,770,1129,70,37,846,749,4.69,6,5,48
4/1/1999,1999,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,77,85,841,5598,1539,302,44,161,631,1081,125,35,846,788,4.93,11,6,32
4/1/1999,1999,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,161,78,83,775,5468,1417,282,40,171,573,1197,112,44,782,689,4.33,8,3,34
4/1/1999,1999,NL,SDN,San Diego Padres,W,N,N,N,N,162,74,88,710,5394,1360,256,22,153,631,1169,174,67,781,705,4.47,5,6,43
4/1/1999,1999,AL,SEA,Seattle Mariners,W,N,N,N,N,162,79,83,859,5572,1499,263,21,244,610,1095,130,45,905,834,5.24,7,6,40
4/1/1999,1999,NL,SFN,San Francisco Giants,W,N,N,N,N,162,86,76,872,5563,1507,307,18,188,696,1028,109,56,831,762,4.71,6,3,42
4/1/1999,1999,NL,SLN,St. Louis Cardinals,C,N,N,N,N,161,75,86,809,5570,1461,274,27,194,613,1202,134,48,838,761,4.74,5,3,38
4/1/1999,1999,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,162,69,93,772,5586,1531,272,29,145,544,1042,73,49,913,805,5.06,6,5,45
4/1/1999,1999,AL,TEX,Texas Rangers,W,Y,N,N,N,162,95,67,945,5651,1653,304,29,230,611,937,111,54,859,809,5.07,6,9,47
4/1/1999,1999,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,84,78,883,5642,1580,337,14,212,578,1077,119,48,862,786,4.92,14,9,39
4/1/2000,2000,AL,ANA,Anaheim Angels,W,N,N,N,N,162,82,80,864,5628,1574,309,34,236,608,1024,93,52,869,805,5,5,3,46
4/1/2000,2000,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,85,77,792,5527,1466,282,44,179,535,975,97,44,754,698,4.35,16,8,38
4/1/2000,2000,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,95,67,810,5489,1490,274,26,179,595,1010,148,56,714,648,4.05,13,9,53
4/1/2000,2000,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,74,88,794,5549,1508,310,22,184,558,900,126,65,913,855,5.37,14,6,33
4/1/2000,2000,AL,BOS,Boston Red Sox,E,N,N,N,N,162,85,77,792,5630,1503,316,32,167,611,1019,43,30,745,683,4.23,7,12,46
4/1/2000,2000,AL,CHA,Chicago White Sox,C,Y,N,N,N,162,95,67,978,5646,1615,325,33,216,591,960,119,42,839,751,4.66,5,7,43
4/1/2000,2000,NL,CHN,Chicago Cubs,C,N,N,N,N,162,65,97,764,5577,1426,272,23,183,632,1120,93,37,904,849,5.25,10,5,39
4/1/2000,2000,NL,CIN,Cincinnati Reds,C,N,N,N,N,163,85,77,825,5635,1545,302,36,200,559,995,100,38,765,700,4.33,8,7,42
4/1/2000,2000,AL,CLE,Cleveland Indians,C,N,N,N,N,162,90,72,950,5683,1639,310,30,221,685,1057,113,34,816,775,4.84,6,5,34
4/1/2000,2000,NL,COL,Colorado Rockies,W,N,N,N,N,162,82,80,968,5660,1664,320,53,161,601,907,131,61,897,835,5.26,7,2,33
4/1/2000,2000,AL,DET,Detroit Tigers,C,N,N,N,N,162,79,83,823,5644,1553,307,41,177,562,982,83,38,827,755,4.71,6,6,44
